id,texto,rotulo
624,Já entrando no clima pro #MasterChefBR ! Hoje tem!,positivo
625,O moço querendo falar e a Fátima doida pra cortar por causa do tempo #Encontro,negativo
626,#MaisVoce FGTS não é descontado dos salários. Ele é uma obrigação da empresa.,neutro
627,Adorei essa senhora #Encontro,positivo
628,O QUE QUE É ISSO DESSA MIRIAN CONTESTANDO O FOGAÇA?!?!? WHAT THE FUCK #MasterChefBR,negativo
629,Daqui a pouco MASTERCHEF No Ar !!! assistindo a prévia com @user e @user   #MasterChefBR,neutro
630,@user Fiquei emocionada de ver a dona Ana e o seu carinho com ela. #altashoras,positivo
631,Mano olha esse @user sobre o jornalismo na... KKKKKKKKKKKKKKKKKKKKKKKK    #TheNoite,negativo
632,Galera 129 anos da ABOLIÇÃO DA ESCRAVATURA #ÉDeCasa,neutro
633,VIVER É MELHOR QUE SONHAR 🎶 A RAINHA #ConversaComBial,positivo
634,"Um dos piores momentos do #MasterChefBR esse final, sim ou claro?",negativo
635,"Yuko gente como a gente, queria usar o pênis, ficou duro, decepcionou, pensou em fazer picadinho do pênis mas deixou pra lá #MasterChefBR",neutro
636,O prato da @user ficou mais bonito que o da @user. Convenhamos. #MasterChefBR,positivo
637,O #Encontro promovendo pseudociência. LAMENTAVEL! #SandyNoEncontro #QuartaDetremuraSDV #QuartaComFenixSDV,negativo
638,Yuko como sempre vai ficar por último #MasterChefBR,neutro
639,A VOZ DA LUCEROOOOOO É A COISA MAIS LINDA QUE VOCÊS IRÃO OUVIR HOJE   #DomingoLegal,positivo
640,"Dormi antes do #masterchefbr acabar,  foi a vida falando pra eu não assistir a decepção dessa eliminação 😢💔",negativo
641,Bora azulllllll #MasterChefBR,neutro
642,To rindo demaaais hahaha #TheNoite,positivo
643,"""Homem q é homem n tem q lavar louça n""  MEU QUERIDO? EM QUE MUNDO VC VIVE??? #Encontro",negativo
644,"23h45 - Globo 12.3, RecordTV 7.1, SBT 5.9, Band 5.8 #MasterChefBR",neutro
645,"@user adorei saber mais sobre você! Não sabia que comia carne, legal isso de não ser radical #altashoras",positivo
646,"Gente do céu, nem assisto mais o #AltasHoras por causa desse insuportável do Marco Luque, que cara bem sem graça. Tenho 100 tipos de nojo.",negativo
647,#MasterChefBR Viiuuuuuu Surra de Sorvete de cachaça de Jambu 😍 Chama ele aí pro #Allcolinária @user,neutro
648,"Não lembro da atriz Isabel Ribeiro, taí mais um bom motivo p/ prestigiar o #MemóriaNacional, p/ conhecermos essas estrelas! #VídeoShowAoVivo",positivo
649,"Poxa, o @user saiu ontem do. #MasterChefBR. Eu gostava das performances dele. Kkkk",negativo
650,Gente o treinador da @user hahahahah #MasterChefBR,neutro
651,Maiara e Maraisa cantando belchior ❤️❤️❤️   #ConversaComBial,positivo
652,"Eu amo a Sandy, mas ela se veste muito mal, sempre com roupas de velha, que não valoriza ela.  #Encontro",negativo
653,Consolidados - SBT (17/05):  #TheNoite 4.4 #SBTNotícias I 3.2 #SBTNotícias II 2.6,neutro
654,"Hora de levantar, arrumar a casa e me preparar pro melhor evento da minha semana: #MasterChefBr POOOORRAAAA! 😂❤😍",positivo
655,#MasterChefBR eu to bem triste 😭😢,negativo
656,O Brasil é uma rapariga mesmo #TheNoite,neutro
657,Padre Fábio está com a cadimia em dia #ConversaComBial,positivo
658,Eu nunca vi em nenhum programa participante sair por q se acidentou! Houve um sensacionalismo ali na hora! #MasterChefBr,negativo
659,tô dormindo de uniforme pra ajudar @user #ConversaComBial #MaiaraeMaraisaNoBial,neutro
660,"Minha rotina de toda quarta-feira nos últimos dias: acordar,assistir #MasterChefBR  no YouTube. AMO o estagiário que acorda cedo pra postar.",positivo
661,Não acredito que hoje não sai nem Miriam e nem a Taize nem sei como escreve o nome da peste #MasterChefBR,negativo
662,"medo de baratas: eu tenho, vc tem, paolla oliveira tem, todo mundo tem #VideoShowAoVivo",neutro
663,#eDeCasa Falar Sobre Mae 💓😍 tema Bom Demais,positivo
664,Não consigo mais ficar acordada pra ver #MasterChefBR,negativo
665,fernando foi o único que tomou uma cachaça de jambu e tá ali de boas #MasterChefBR,neutro
666,Paolla Maravilhosa como sempre ❤ #VideoShowAoVivo,positivo
667,Ainda bem que não assisti #MasterChefBR muito triste que o Vitor B saiu,negativo
668,Mas eu me mordo de ciuuuuuuumeees #TheNoite,neutro
669,Aí que tuuuudo @user no #VideoShowAoVivo,positivo
670,Acho q eh o fim da linha p o vigor b! #MasterChefBR,negativo
671,#MasterChefBR Alguém gosta de basquete? SDV,neutro
672,Amo o Vitor B. #odeioamirian #MasterChefBR,positivo
673,Uso da cor pra doutrinação partidária usando Bob Marley e maconha ?? #Encontro ou panfleto político partidário ?,negativo
674,"Meu sonho é comer uma barca de açai ou de hambúrguer, batata, sei lá KKKKK 😍 #MaisVoce",neutro
675,Não tenho frescura pra comer e se a comida for de graça muito menos #MasterChefBR,positivo
676,Sai a Nayane e deixa o Vitor B  #MasterChefBR,negativo
677,Preciso dessa receita... Na minha mesa agora #MaisVoce,neutro
678,P. Fábio de Melo sempre impressionando !!  #conversacombial,positivo
679,MEU DEUS ME AJUDEM #DomingoLegal,negativo
680,"""For compra o presente da minha mãe,e ninguém vai saber ""😂 pow criança é muito ingénua   #Encontro  @BoraPraTag  @belardo_SO  @Eulay18",neutro
681,O diretor do filme esteve ontem no #TheNoite com @user e fiquei com vontade de assistir. Parece ser muito bom #SigaORastro,positivo
682,To chocada com a bomba que a Sônia Abrão mandou agora no #ATardeESua sobre o #MasterChefBR 😱😱😱,negativo
683,Começou a reprise do #MasterChefBR.  Preciso assistir pq só vi o finalzinho terça feira.,neutro
684,#VideoShowAoVivo Fátima realmente é um exemplo de pessoa/mulher a ser seguido.,positivo
685,Que agoniiiiia #MasterChefBR,negativo
686,@user quando vai ter o jogo de panelas de novo?!  #MaisVocê,neutro
687,"Antônia de Morais é das minhas! Salto alto, nunca mais!😁#VideoShowAoVivo",positivo
688,"HAHA @user sentiu a falta dos #twitters hoje! "" - Vocês devem estar bem ocupados!!"" 📺👀😂 Eu também tô com vocês viu!!! #VídeoShowAoVivo",negativo
689,Quanta coisa da vida da Fátima que eu não  tinha visto #VideoShowAoVivo,neutro
690,Materia linda no #encontro ❤️,positivo
691,Obrigada #masterchefbr por me transformar num zumbie hoje! 😂😴,negativo
692,Agora Partiu Ver @user na globo em #ConversaComBial #MaiaraeMaraisaNoBial....,neutro
693,#VideoShowAoVivo parabens a vcs do video show a cada dia que passa vcs arrazao,positivo
694,mas que tema ridículo ein Fatima #Encontro,negativo
695,#VídeoShowAoVivo kkkk sei não essa mãe de leo e uma onda,neutro
696,"A terceira música nem acabou, e eu já tô lembrando da gente fazendo amor... #MaiaraeMaraisaNoBial #ConversaComBial",positivo
697,O humor do Porta dos Fundos é de fundão mesmo. #TheNoite,negativo
698,Interessante esse prato hein #MasterChefBR,neutro
699,#BoletimDeSegunda o @user mostrando o fã clube do Lula. Berrooooooooo! 😂 #TheNoite @user @user.,positivo
700,Namaria tá de pijama?  #maisvoce,negativo
701,"Faz patê de sardinha, galera 😂 #MasterChefBR",neutro
702,Eu amo #MasterChefBR isso é sério,positivo
703,"#VídeoShowAoVivo ainda bem que avisaram, ananhã nem ligo na globo",negativo
704,#VideoShowAoVivo é a Fátima Bernardes.,neutro
705,"Jamais ia saber que era a Viviane Pasmanter,que fazia esse personagem na novela,incrível. #MaisVoce",positivo
706,Por que a análise do Fogaça é quase sempre cortada? Fica aí o questionamento. #MasterChefBR,negativo
707,"A palavra que sempre falo nas tercas na hora do #MasterChefBR é ""To Com Fome""✌",neutro
708,"Adorei essa votação, bem mais emocionante #MasterChefBR",positivo
709,Como comemorar com uma eliminação entre Vitor B x Yuko? Não dá... QUE MERDAAAAAA #MasterChefBR,negativo
710,O gigantossauro personal da Kefera no masterchef hahahha #MasterChefBR,neutro
711,"#MasterChefBR masterChef profissionais, gosto pq tem várias tretas",positivo
712,Pula pra agosto 😭😭😭  #DomingoLegal,negativo
713,#EDeCasa nossa !!!!,neutro
714,"Não sei se o Vitor vai ganhar o #MasterChefBR, mas essa edição é todinha dele❤",positivo
715,Como essa mulher é grossa! Aff... Estupida! #encontro #forafatima,negativo
716,Vai ser o Melhor episódio do #MasterChefBR se a Mirian sair!,neutro
717,hj o #ConversaComBial é pra mim,positivo
718,Missão do dia: evitar spoilers #MasterchefBR,negativo
719,#SBTNotícias com as principais notícias do Brasil e do Mundo com @user! É logo após o #TheNoite! #NãoPercam,neutro
720,O Bial atacando o Pd. Fabio e ele dando uma surra de boas respostas! #conversacombial,positivo
721,Fiquei com pena do Victor B. #MasterChefBR,negativo
722,O que é o depoimento dessa mulher no #Encontro com #FátimaBernardes? Parece que ela ta recitando a lista da feira! 🤔,neutro
723,#MaisVocê mt engraçado @user dando bom dia pro louro,positivo
724,O MEU FAV SAIU AFSSSS NÃO ACREDITO #MasterChefBR,negativo
725,Tão dizendo que é  nina  #ConversaComBial,neutro
726,@user sempre linda!! ❤ #VideoShowAoVivo,positivo
727,#MasterChefBR vendo esses pratos da equipe azul eu ja estou ficando nervosa😞😞,negativo
728,Lucero eu tô tremendo Lucero #DomingoLegal,neutro
729,Rodrigo Santoro é uma influência de ator para mim. #ConversaComBial,positivo
730,Perdi #MasterChefBR não acreditooooo,negativo
731,Calabokinha pq começou o #MasterChefBR,neutro
732,Ana Luíza &amp; Débora 💚 #MasterChefBR,positivo
733,as cobras estão juntas destilando o veneno já #MasterChefBR,negativo
734,@user me surpreendendo em cada programa! #MasterChefBR,neutro
735,"O filho do djavam,tem a mesma voz,linda voz!#encontro",positivo
736,"Esse #ConversaComBial é quase a mesma coisa do programa do Jô, esperava algo mais original.",negativo
737,"O quase filho ga Giuliana da #TerraNostra é o Zac da #RockStory  Sorry, não sei o nome do ator. =D #VideoShowAoVivo",neutro
738,#TheNoite  vai ser muito bom 30 anos da #praçaenossa @user,positivo
739,Nem acredito que vou ter que assistir o #MasterChefBr sem torcer por vc @user 😭😭 Deveria ter repescagem 😃😘😘,negativo
740,Consolidados - SBT (11/05):  #TheNoite 5.8 #SBTNotícias I 4.1 #SBTNoticias II 2.9,neutro
741,Exemplo de sobremesa: creme de cupuaçu. Delícia. #MasterChefBR,positivo
742,Passei a aula de física inteira cheirando meu casaco E ainda me julgam por causa disso #AltasHoras,negativo
743,"#MasterChefBR ""um segundo pessoal, eu disse UM SEGUNDO, anda"" Quem concorda q a @user deveria tomar conta do relógio do ENEM? kkk",neutro
744,"""Cada um que expulse o Diabo que criou."" Pde Fabio de Melo. Muito a refletir nessa frase #conversacombial",positivo
745,"Hoje no #conversacombial vai estar o meu amado padre. Só q gente,olha só a hora desse programa.",negativo
746,Tem anos que não uso ferro que não passo roupa.  #MaisVocê,neutro
747,"Tá fácil ficar lendo essas coisas no trabalho, sobre o #VideoShowAoVivo com a @user",positivo
748,#MasterChefBR eu teria que me trancar a sete chaves,negativo
749,#VideoShowAoVivo   Cláudia Raia,neutro
750,A YUKO É MUITO FOFA CARALHO VAI TOMAR NO CU #MasterChefBR,positivo
751,@user Quero meus lindos @user e @user de volta no #MasterChefBR  😭😭😭,negativo
752,"Depois de hoje, tava na cara que o Vitor ia sair! #MasterChefBR",neutro
753,#altashoras a Sophia Abrahão é linda e a cara da Cláudia Raia,positivo
754,"Verdade, saudade de ir no banheiro sozinha 😑 #altashoras #vidadeMae ❤",negativo
755,@user o que um unicórnio  come? Nuvem!!! #MaisVoce,neutro
756,"Gente, amo inhoque e a Tais Araújo dispensando? Manda pra mim #namaria ! 😂😂😂😂 #maisvoce",positivo
757,"Douglas é bem debochada, né? Preguiça #masterchefbr",negativo
758,Sempre q via a Maiara e Maraisa na propaganda do CD via uma mulher só e queria conhecer a outra. Aí descobri que são gêmeas #ConversaComBial,neutro
759,"#altashoras @user Convide Eriberto Leão p/cantar""Hurricane-Furacão) p/que eu possa participar de convidado na platéia que será o melhor",positivo
760,Pega pega é o nome da nova novela das 7? A criatividade manda lembranças #MaisVoce,negativo
761,@user é um monstro neh ?👏👏👏 #ConversaComBial,neutro
762,@user sua linda te vi no @user com @user e amei sua história. #TheNoite,positivo
763,"E dale porrada no #MasterChefBR . Não fez prato bom, leva um direto!!",negativo
764,Quem vai assistir #MasterchefBR agora também?,neutro
765,"#Encontro.  Homem que é homem, não só lava a louça como cozinha também.  Companheirismo é a palavra. A questão não é ajudar.",positivo
766,Entendi a intenção dos 2 ringues mas achei meio brega e confuso #MasterChefBR,negativo
767,#MaisVocê pombo a passarinho 😂😂😂😂,neutro
768,É o tchaaaaan. Eu te amooo!!! #AltasHoras,positivo
769,"MANO, VOU CHORAR #MasterChefBR",negativo
770,Esse cara de preto perto do tchan me representa muitooooo #AltasHoras,neutro
771,Eu serei uma velha jovem tipo a Ana Maria Braga! #MaisVoce,positivo
772,Triste em ver o V.B. saindo 😭😭😭 #MasterChefBR,negativo
773,"Esse episódio foi foda,foi emocionante! #MasterChefBR",neutro
774,Paolla e o cachorro é a coisa mais fofa e LINDA desse mundo ❤ #VideoShowAoVivo,positivo
775,#Encontro Fui abusada na infância e até hj não consigo falar sobre o assunto. Muito menos perdoar os abusadores q já faleceram.,negativo
776,"23h00 - Globo 19.5, SBT 8.8, RecordTV 6.2, Band 5.0 #MasterChefBR",neutro
777,Tiê maravilhosaaaaaaa no #Encontro 💙,positivo
778,E essa mulher fica mais 1 semana... #MasterChefBR,negativo
779,"o problema da galera é q quando eles vão cozinhar algo pensando no norte, acho q eles tentam buscar o nordeste por ser proximo #MasterChefBR",neutro
780,De olho no....♡👀#VideoShowAoVivo,positivo
781,Melhor dia vai ser ver Leo e Miriam saindo juntinhos do #masterchefbr,negativo
782,"#VideoShowAoVivo,melhor horário pra se almoçar é assistindo vocês",neutro
783,"@user fala tão lindo, tem uma calmaria na voz 💜 #ConversaComBial",positivo
784,#MasterChefBR quem são os 20% q tão torcendo p time vermelho? Eu só tô vendo azul rsrsrs,negativo
785,Mano o povo está falando: Eu já falei vou repetir...  O que eu entendo :Eu já falei vou repetir é a Lucero que manda aqui   #DomingoLegal,neutro
786,Muito lindo o filho dele socorro #AltasHoras,positivo
787,Vou ficar tonta @user #conversacombial  #MasterChefBR,negativo
788,Tem gente impressionada por a mulher ter 9 filhos.... Minha vó teve 23 #Encontro,neutro
789,#Thenoite está maneiro hoje 🤙🏽#Maluma #danilogentili,positivo
790,@user Senti sua conversa c/Santoro sobre americanos em relação ao Trump foi mal informado e enviou a mensagem errada. #ConversaComBial 1/2,negativo
791,Isso é a Fátima Bernardes @user #VideoShowAoVivo,neutro
792,Minha Diva!!!!!! #Sandy  #Encontro,positivo
793,Porra que medo kkkkkkkkkkkkkk #TheNoite,negativo
794,"Agora tem Carlos Alberto de Nóbrega comemorando os 30 Anos da ""#APraçaÉNossa"" 😂😂😘 no #TheNoite do @user no @user.",neutro
795,"Já, já 📺 #NasNovelasDaNoiteSBT #CarinhaDeAnjo122😍 #Chiquititas171💙 Logo mais: #ProgramaDoRatinho  #CineEspetacular #TheNoite  @SBTonline.",positivo
796,#Encontro.  Tô tentando mas ainda não sei quem é Manoel. É ator?,negativo
797,"Vai fala da Nina, aguenta coração #ConversaComBial",neutro
798,"#VideoShowAoVivo  Progama mais do que show, amo esse progama, não perco por nem um dia.... #amo",positivo
799,"O dia inteiro falando de NOVELAS, que bosta de  TV..............  #encontro",negativo
800,"Gente, quero esse mapa astral da Sandy! Comofaz? #Encontro",neutro
801,"Não estou sabendo lidar com o filho do Serginho puxando o ""vau vau"" pelo estúdio 😍 #altashoras",positivo
802,Sardinha com queijo??????? #MasterChefBR,negativo
803,#MasterChefBR vamos lá,neutro
804,Mônica  😍😍😍#VideoShowAoVivo,positivo
805,Coitado do Vitor B #MasterChefBR,negativo
806,"""Todo PM sai de casa querendo salvar uma vida [...] ajudar alguém"", moço, Cabo Theodoro, vc tá numa utopia... #Encontro #EncontroComFatima",neutro
807,pe Fábio de Melo melhor pessoa  #ConversaComBial,positivo
808,"Vitor ralou a tampa do dedo. Aquele descascador é potente, credo #MasterChefBR",negativo
809,#MasterChefBR começou! Hoje é dia de frango com batata doce.,neutro
810,Assistindo #conversacombial com o #padrefabiodemelo. Excelente #talkshow. Entrevista inteligência e com humor na medida certa.,positivo
811,leonardo cada dia mais invejoso  #MasterChefBR,negativo
812,"Thomas e Valval se divertindo no #AltasHoras Fernanda, como sempre, super discreta. E sdd da D. Ana",neutro
813,"Ain, céus. Olha essa foto como Jax. Minha nossa...❤#TheNoite",positivo
814,"Nicolas Prattes, o Zack de Rock Story. Não mudou nada o resto de Terra Nostra pra cá. #VideoShowAoVivo",negativo
815,Ricardo Tozzi um homão desse #VideoShowAoVivo,neutro
816,Eu acho a coisa mais linda do mundo o Serginho falando e mostrando a família dele. Me emociona mesmo! #AltasHoras #AmorDeFamília,positivo
817,embuste da miriam ficou 😒#MasterChefBR,negativo
818,Já quero #DiegoDarksonMc no #VideoShowAoVivo,neutro
819,Vanessa da mata no #AltasHoras 😍 Amo muito ❤,positivo
820,Pena que recebo spoiler a cada tweet nessa timeline. #MasterChefBR,negativo
821,Vocês tão me matando de fome #MaisVoce,neutro
822,#MasterChefBR Ainda bem que os lutadores estão descontando a comida que não agradou nos bonecos viu!,positivo
823,Todo mundo odeia a Mírian #MasterChefBR,negativo
824,Que fome!! Quero!!! #maisvoce,neutro
825,AMO A YUKO E VOU DEFENDÊ-LA  #MasterChefBR,positivo
826,#MaisVocê Ana Maria nunca viu um ferro de passar...afff...,negativo
827,Imagina se aproveitam os ringues e alguns se pegam por ali? 🤔 #MasterChefBR,neutro
828,VEEEEM VERMELHOOOO #MasterChefBR,positivo
829,MEU AZUL TEM Q GANHAR #MasterChefBR,negativo
830,Impressão minha ou a Ana Maria falou dibrar ?? Kkkkkkk #MaisVoce,neutro
831,Essa história sobre adoção no #Encontro fazendo nós chorar litros.,positivo
832,Deixou a moça no vácuo #MaisVocê,negativo
833,A roteirista do #MaisVoce hoje é a @user repassem,neutro
834,AMEI AAAA MEU CRUSH TÁ AINDA NA COMPETIÇÃO AAA #MasterChefBR,positivo
835,"Fui assistir #MasterChefBR ontem, dormi e agora descobri que meu Vitor saiu AAAAAAAAAAAAAAAAAAAAAA",negativo
836,"#VideoShowAoVivo eae, vamo falar da #DiretasJá ?!!!",neutro
837,"Braulio Bessa, que homem!!! #Encontro #DiadasMães ❤️",positivo
838,Aquarela bxjsjdjjwjs eu tô tremendo  #DomingoLegal,negativo
839,É O Tchan No #AltasHoras,neutro
840,Admiro essas mulheres que fazem parto natural. #AltasHoras,positivo
841,"@user Nao faz assim, fica c nós!!!!! #MasterChefBr",negativo
842,NaMaria já mandou o recado: parem com o bullying com a Taís. #maisvoce,neutro
843,"#TheNoite  o melhor quadro, Mestre mandou .",positivo
844,Eu não entendi uma coisa. No prato do Fabrizio só tinha o tomate de bom e no da Yuko tava tudo gostoso. Pq ele subiu?  #MasterChefBR,negativo
845,Lua tá parecendo filha da Fátima #LuaBlancoNoEncontro #Encontro,neutro
846,"Adorei Maiara e Maraisa no programa do Bial, maravilhosas! #ConversaComBial",positivo
847,"Coloca esse frango no forno logo, @user. #masterchefbr",negativo
848,@user que horas vc chega em Belém/Aeroporto? Quero ir lá bater uma foto com vc. #VideoShowAoVivo,neutro
849,Amando cada pedacinho dessa entrevista com minha diva Fátima #VideoShowAoVivo,positivo
850,O prato de hoje é esse vomito selado com esse gorfo verde etc #MasterChefBR,negativo
851,Comida para passarinho #MasterChefBR,neutro
852,Mayara e Maraysa Cantando Elis Regina no #conversacomBial manoooo 😍😍😍😍😍😍😍❤❤❤❤❤❤❤❤❤,positivo
853,#ConversaComBial poderia interagir com o público! #UmaIdeia #SóAcho,negativo
854,Vamos tomar um café com notícia boa? É no #MaisVoce,neutro
855,"#MasterChefBR amo esse programa.! Ana Paula me manda um bjo, gosto muito de vc.",positivo
856,A Ana Maria está apresentando o #MaisVoce ou o Note e Anote? Kkkkk,negativo
857,Me avisem quando começar A PRÉVIA? #MasterChefBR,neutro
858,"Isso sim é exclusivo, Carlos Alberto vai virar youtuber.. 🙌🙌 @user #TheNoite #APraçaéNossa",positivo
859,"#MasterChefBr vai Fogaça, vai caralho ~Carosella Voice",negativo
860,Flora e Donatela depois de 40 anos cantando Beijinho Doce na Rede Globo #Encontro,neutro
861,"O poeta tem um olhar sobre o mundo que às vezes muitas pessoas não tem. O olhar crítico e filosófico ao seu redor, sobre tudo... ❤ #Encontro",positivo
862,Fala sério só tá saindo o povo massa do #MasterChefBR 😭,negativo
863,@user   Sophia Abrahão  Como  foi a participação do Sérgio malheiros   #altashoras,neutro
864,Emocionante a homenagem que a galera do #TheNoite com @user estão fazendo para o #CarlosAlbertoNóbregaNoTheNoite,positivo
865,Acabou o jogo mudei pro #MasterChefBR e tô tentando entender o programa mas tamo aí!,negativo
866,‶Dia de Grêmio‶ ‶FELIZ DIA DAS MÃES‶ ‶HOJE TEM PALMEIRAS‶ #AltasHoras #EstamosJuntosVasco,neutro
867,Impressionante como #MasterChefBR só melhora a cada temporada.O episódio de ontem foi o melhor de todos!,positivo
868,"Minha opiniao sobre o #ConversaComBial de hoje: um festival de clichês, tá muito chato. E a terceira vez que assisto, este é o pior de todos",negativo
869,Só acho que a Sophia deveria desfilar hoje. #videoshowaovivo,neutro
870,"'Não importa se é ateu ou católico, se somos todos bem intencionados, tds queremos o bem da humanidade"" Essa padre 😍#ConversaComBial",positivo
871,ESSE SERTANEJO QUE TÁ NA FÁTIMA PARECE COM AQUELES DE CABELO ROSA DA DIVA DA DEPRESSÃO #ENCONTRO,negativo
872,"22h45 - Globo 21.5, SBT 8.8, RecordTV 7.6, Band 3.9 #MasterChefBR",neutro
873,a mãe do Serginho era fofa e lgl ah gente #AltasHoras,positivo
874,"#Encontro rouba 3min, todo dia do jornal local. coloco na globo 10min depois da 12h pra n corre riscos. prefiro desencontrar #GloboGolpista",negativo
875,Gente eu achei que acordei bêbado ainda do role de ontem e a Nivea Stelman tinha engordado. Essa mulher Roberta é a cara dela #EDeCasa,neutro
876,@user jogando torta no povo Socorro que maravilhoso kkkkkk #VideoShowAoVivo,positivo
877,É muito vergonhoso ver que os participantes não conhecem quase nada da culinária do Norte!  #MasterChefBR,negativo
878,mano Maiara KKKKKKKKKKK #ConversaComBial,neutro
879,#MasterChefBR Hj é dia de preparar algo  pra comer na hora do programa #FomeSempre😋💕,positivo
880,"""Parem com essa tradição maldita de culpar a vítima."" #Encontro",negativo
881,Meu pai tá na TV #McCatra #TheNoite 😘,neutro
882,"O Vitor não vai sair por falta de torcida, isso é certeza! #MasterChefBR",positivo
883,O DANILO DO HIPERTENSÃO DE 2010 NO MASTERCHEFF AHHHHH #MasterChefBR,negativo
884,Estrogonofe de sardinha é uma iguaria mto apreciada no meio universitário #MasterChefBR,neutro
885,"Acabou, amei o programa mais uma vez você @user lacrou muito sucesso, continue assim te amo #VideoShowAoVivo",positivo
886,fui tombada achei eles iriam cantar eu era #Encontro,negativo
887,Hoje no #MasterChefBR os participantes irão passar por uma prova de resistência onde vão experimentar o nhoque de abóbora da Ana Maria Braga,neutro
888,Quero o Thomas no #AltasHoras toda semana! 😄 Bebê mais lindo!!!! 😍,positivo
889,"Sem noção Yuko colocar essa quantidade de tempero na almôndega, se eu fosse capitã ficaria putíssima #MasterChefBR",negativo
890,#videoshowaovivo pq o Ota fica olhando pro lado ?,neutro
891,Como é bom ouvir o @user! Bom seria se todos os religiosos tivessem essa sabedoria e discernimento! #ConversaComBial,positivo
892,"""homem que é homem não lava louça""  Se piroca lavasse louça toda mulher ia querer ter um macho bb #encontro",negativo
893,Foi só eu falar que o Valter foi destaque positivo #MasterChefBR,neutro
894,Respeita que o cara é foda #TheNoite,positivo
895,Acarajé de SUSHI! AH VAO DORMI PQP #MaisVoce,negativo
896,@user Passar roupa é facio #maisVoce,neutro
897,#Conversacombial o talkShow q vc respeita! #Bemassim,positivo
898,"Aff Ana Maria, foca mais na carreira da Vivianne Pasmanter, mal conversa com ela, que bosta.  #MaisVoce",negativo
899,#encontro com Fátima Bernardes,neutro
900,"Se for comparar, a Fátima quase sempre teve os cortes de cabelo parecidos com o da Celine Dion. Duas rainhas ❤ #VideoShowAoVivo",positivo
901,"n era pro Vitor B ter saído, uns dos meus fav :( to triste #MasterchefBr",negativo
902,#TheNoite @user tô fazendo acumpuntura junto com a placa mio relaxante odontológicaAcumpuntura está associada à várias disciplinas,neutro
903,JAMAIS TIRE ESSE TRIO FOGAÇA JACQUIN CAROSELLA É TUDO QUE PEÇO #MasterChefBR,positivo
904,Rever cenas da Marieta Severo dá uma saudade da dona Nenê de #AGrandeFamília! #VídeoShowAoVivo,negativo
905,@user  hj vc não sai #MasterChefBR,neutro
906,"eu gosto tanto do memoria nacional porque eu tenho a oportunidade de ""conhecer"" tanta gente #VideoShowAoVivo",positivo
907,Mta emoção no #Encontro @user @user Como sempre o tema #adoção nos transborda o coração! #amorPraSempre,negativo
908,#MaisVocê ajude uma pessoa friorenta ganhar o pijama da @user da RT p/ q meu tt chegue até ela,neutro
909,@user Mariana Xavier é muito parecida com a mãe Fabiana Carla. Incrível! #VideoShowAoVivo @user,positivo
910,#MaisVoce NAO QUERO !,negativo
911,é a Fátima Bernardes ela acabou de postar KKKKKKKKKKKKKK KKKKKKKKKKKKKK #VideoShowAoVivo,neutro
912,Augusto Cury MARAVILHOSOOOOOO!!!!   Melhor #ConversaComBial,positivo
913,"#AltasHoras quem é esse de preto, achando que é o jacaré, dançando na platéia as músicas do tchan kkkkkkkkk",negativo
914,AnaMaria de Unicórnio no dia q Camila Cabello lança música n pode ser coincidência😂 #ihavequestions #CryingInTheClubMusicVideo #MaisVoce,neutro
915,Entrevista foda!! Esclarece muita coisa. Sensacional!! @user #TheNoite,positivo
916,Quase não tem sal mas tá bem temperado... será ?#MasterChefBR,negativo
917,#VídeoShowAoVivo Otaviano. Voce lembra de mim sou eu maria Cristina sou eu eu mesma  dei meu segundo livro para você e Vídeo pera mim,neutro
918,"Pelo menos  a @user chegou atrasada e linda, eu chego atrasada parecendo um zumbi #VideoShowAoVivo",positivo
919,Se fosseu eu nesses 5 minutos é que eu ia começar a fazer e ainda conseguiria empratar #MasterChefBR,negativo
920,#VideoShowAoVivo em vez de nub podia ser nudes!!!!,neutro
921,@user Maiara me emprega? hahah #ConversaComBial.,positivo
922,Esse #MasterChefBR virou um programa para intrigas 🙄🙄,negativo
923,"@user ,vc já pode fazer maratona  Padre Fábio de Melo no  #ConversaComBial,grata.",neutro
924,Agora tem ator lindo Charlie Hunnam 🎬😘 no #TheNoite com @user no @user. #CharlieHunnamNoTheNoite,positivo
925,"Pior coisa é você passar por isso com 12 anos e sua mãe n acreditar em você.. ""Castigo pra pedofilo tem que ser cadeia perpétua ""😠 #Encontro",negativo
926,"Vanessa da Mata não tem só ""Ai ai ai"" de música, mas é inevitável ela ir num programa e não cantar. Um hino, né, mores? #AltasHoras",neutro
927,Rodrigo Santoro pleno e maravilhoso. Um orgulho nacional ❤ #conversacombial,positivo
928,Ver o #Masterchefbr dessa semana me fez chorar muito 💔,negativo
929,Aqui na região de Campinas fala-se juju para esse sacolé #VídeoShowAoVivo,neutro
930,"#Encontro.  D. Ivonete, mãe  de Manoel, super mãe!",positivo
931,Esse gordinho é a peste viu #MasterChefBR,negativo
932,Minha mãe sempre fazia Macarrão com sardinha #MasterChefBR,neutro
933,O filho do Serginho é um encanto #Altashoras,positivo
934,"#VideoShowAoVivo povo idolatra uma exBBB que se ñ fosse por eles ela nem existiria, confundem beleza de Sophia com talento de apresentar 😣😣😣",negativo
935,Consolidados - SBT (09/05):  #TheNoite 3.3 #SBTNotícias I 2.5 #SBTNotícias II 1.9,neutro
